id,name,books
bca8f838-4f93-492c-ba4b-ec7d4ac496d3,Jacquelyn Airdrie,[]
dd97be3f-2bd5-48d2-ab02-594f3a5df198,Olympe Scain,[]
9da66a13-f9c3-410f-8a4c-097b601958b8,Doralyn Giacovelli,[]
21a4a78c-2f48-45df-abad-ab07607db305,Gilles Antonioni,[]
ad7f8e85-62e3-4979-9270-ce9fae47ab3c,Maure Petrina,[]
6300b19f-5325-4193-a443-9a2072c31d19,Corinna Leyzell,[]
b88451aa-bc2c-41c2-a2bf-7320ba3c682d,Murdock Stairmand,[]
f9b0d052-e0cc-4996-b79c-1677e49002f5,Vivi Brunsen,[]
c26c8d10-7d89-49c6-b614-36f93c455857,Giulia Pethybridge,[]
32843aca-ed5e-4486-ae6e-609f2f003ddb,Gregoor Kirsop,[]
55448b6c-9c18-4f92-a2ca-51d5a756df50,Bobbie Bolesworth,[]
1ca9ca02-18ad-409e-8ca3-dba19569a2fa,Eleonore Temperton,[]
67ccac7e-f8f9-4d81-9b51-307e6d3a1318,Daniela Tarling,[]
a40918ca-1f6c-4285-b1c9-43aa3ae68952,Alonso Grocott,[]
b65dae3a-edea-441b-9397-fd56a826dfc9,Gerrilee Parr,[]
f9855842-e7ef-44d1-bb95-365af6afa8bc,Zed Northgraves,[]
62968442-31dd-41a9-8837-ec8acee222b0,Kessia Tiller,[]
22ef89e6-b658-45c2-be6b-155c82471ba1,Luke Adrain,[]
b09981cd-abf0-4bcd-9a27-bb03946646c1,Vail Worsnap,[]
fecaee9f-d551-4f71-993a-ee8394959f14,Heywood Goldes,[]
